setup_id,time_s,dof,acc_mps2
1,0.0,1,0.00272691
1,0.0,2,0.00536575
1,0.0,3,0.00798932
1,0.0,4,0.01120896
1,0.005,1,0.00559378
1,0.005,2,0.0068375
1,0.005,3,0.01114822
1,0.005,4,0.01284861
1,0.01,1,0.00820796
1,0.01,2,0.01107646
1,0.01,3,0.01357021
1,0.01,4,0.01667362
1,0.015,1,0.01153732
1,0.015,2,0.01342661
1,0.015,3,0.01483021
1,0.015,4,0.01657837
1,0.02,1,0.01324903
1,0.02,2,0.01662836
1,0.02,3,0.01746729
1,0.02,4,0.01917869
1,0.025,1,0.01525707
1,0.025,2,0.01544712
1,0.025,3,0.01853598
1,0.025,4,0.0210181
1,0.03,1,0.01688041
1,0.03,2,0.01778676
1,0.03,3,0.02017692
1,0.03,4,0.0215363
1,0.035,1,0.01761484
1,0.035,2,0.01757183
1,0.035,3,0.02084074
1,0.035,4,0.02004541
1,0.04,1,0.01459293
1,0.04,2,0.01828092
1,0.04,3,0.01936637
1,0.04,4,0.02224001
1,0.045,1,0.01784806
1,0.045,2,0.01745554
1,0.045,3,0.02071899
1,0.045,4,0.01974369
1,0.05,1,0.01671595
1,0.05,2,0.01781176
1,0.05,3,0.01921873
1,0.05,4,0.020591
1,0.055,1,0.0167798
1,0.055,2,0.01760732
1,0.055,3,0.01870985
1,0.055,4,0.01900469
1,0.06,1,0.01465822
1,0.06,2,0.01549942
1,0.06,3,0.01635822
1,0.06,4,0.01759939
1,0.065,1,0.01407144
1,0.065,2,0.01741016
1,0.065,3,0.01468323
1,0.065,4,0.01449096
1,0.07,1,0.01410447
1,0.07,2,0.01534011
1,0.07,3,0.01467887
1,0.07,4,0.01492373
1,0.075,1,0.01383208
1,0.075,2,0.01273356
1,0.075,3,0.01149829
1,0.075,4,0.012145
1,0.08,1,0.01254742
1,0.08,2,0.01042405
1,0.08,3,0.01184699
1,0.08,4,0.01167846
1,0.085,1,0.01063331
1,0.085,2,0.01180993
1,0.085,3,0.01147909
1,0.085,4,0.01270295
1,0.09,1,0.01111592
1,0.09,2,0.00990156
1,0.09,3,0.00964203
1,0.09,4,0.00874258
1,0.095,1,0.01119501
1,0.095,2,0.00958201
1,0.095,3,0.00966672
1,0.095,4,0.00975901
1,0.1,1,0.00945396
1,0.1,2,0.00969401
1,0.1,3,0.00764356
1,0.1,4,0.00759191
1,0.105,1,0.00970415
1,0.105,2,0.01041414
1,0.105,3,0.01061077
1,0.105,4,0.0085183
1,0.11,1,0.01074694
1,0.11,2,0.01030708
1,0.11,3,0.01057564
1,0.11,4,0.00944513
1,0.115,1,0.01104396
1,0.115,2,0.00934899
1,0.115,3,0.01055731
1,0.115,4,0.00904671
1,0.12,1,0.01230216
1,0.12,2,0.0105782
1,0.12,3,0.01180461
1,0.12,4,0.00846249
1,0.125,1,0.01294532
1,0.125,2,0.01094839
1,0.125,3,0.00951476
1,0.125,4,0.00783545
1,0.13,1,0.01140946
1,0.13,2,0.01241551
1,0.13,3,0.01096325
1,0.13,4,0.00973415
1,0.135,1,0.00929406
1,0.135,2,0.01176351
1,0.135,3,0.01072024
1,0.135,4,0.00847851
1,0.14,1,0.01103673
1,0.14,2,0.01099328
1,0.14,3,0.01178741
1,0.14,4,0.00783509
1,0.145,1,0.01111329
1,0.145,2,0.01217904
1,0.145,3,0.00938907
1,0.145,4,0.00825817
1,0.15,1,0.01141088
1,0.15,2,0.00928659
1,0.15,3,0.00971093
1,0.15,4,0.00702238
1,0.155,1,0.01188984
1,0.155,2,0.01015358
1,0.155,3,0.01133476
1,0.155,4,0.00801994
1,0.16,1,0.01201505
1,0.16,2,0.00841404
1,0.16,3,0.00842557
1,0.16,4,0.00749744
1,0.165,1,0.01203169
1,0.165,2,0.00758564
1,0.165,3,0.00900811
1,0.165,4,0.00716589
1,0.17,1,0.01148712
1,0.17,2,0.00954938
1,0.17,3,0.00755152
1,0.17,4,0.005457
1,0.175,1,0.0084387
1,0.175,2,0.00865897
1,0.175,3,0.0068372
1,0.175,4,0.00744279
1,0.18,1,0.00890065
1,0.18,2,0.00849315
1,0.18,3,0.00506427
1,0.18,4,0.00453918
1,0.185,1,0.00970229
1,0.185,2,0.00880297
1,0.185,3,0.00777644
1,0.185,4,0.00448812
1,0.19,1,0.00835594
1,0.19,2,0.00833976
1,0.19,3,0.00663247
1,0.19,4,0.00471038
1,0.195,1,0.00888896
1,0.195,2,0.00899836
1,0.195,3,0.00606835
1,0.195,4,0.00468184
1,0.2,1,0.01102869
1,0.2,2,0.0085052
1,0.2,3,0.00617998
1,0.2,4,0.00594773
1,0.205,1,0.01016401
1,0.205,2,0.00763255
1,0.205,3,0.00592297
1,0.205,4,0.00509949
1,0.21,1,0.0101451
1,0.21,2,0.0084251
1,0.21,3,0.0068747
1,0.21,4,0.0028833
1,0.215,1,0.00828
1,0.215,2,0.00806368
1,0.215,3,0.00566677
1,0.215,4,0.00246779
1,0.22,1,0.01066463
1,0.22,2,0.00804741
1,0.22,3,0.00402888
1,0.22,4,0.00311536
1,0.225,1,0.0091287
1,0.225,2,0.0053899
1,0.225,3,0.00483566
1,0.225,4,0.00186086
1,0.23,1,0.00780315
1,0.23,2,0.00653728
1,0.23,3,0.00395505
1,0.23,4,0.00038084
1,0.235,1,0.00782857
1,0.235,2,0.00584542
1,0.235,3,0.00153251
1,0.235,4,0.00010556
1,0.24,1,0.00595066
1,0.24,2,0.00557285
1,0.24,3,-0.00115718
1,0.24,4,-0.00111039
1,0.245,1,0.00380769
1,0.245,2,0.00135177
1,0.245,3,0.00075798
1,0.245,4,-0.00363046
1,0.25,1,0.00419759
1,0.25,2,-0.00114485
1,0.25,3,-0.002918
1,0.25,4,-0.00618168
1,0.255,1,-0.00116108
1,0.255,2,-0.00304042
1,0.255,3,-0.0058975
1,0.255,4,-0.00775525
1,0.26,1,-0.00519789
1,0.26,2,-0.00367168
1,0.26,3,-0.0082755
1,0.26,4,-0.00860582
1,0.265,1,-0.00682684
1,0.265,2,-0.00803328
1,0.265,3,-0.0074944
1,0.265,4,-0.01364462
1,0.27,1,-0.01004403
1,0.27,2,-0.01150311
1,0.27,3,-0.01269489
1,0.27,4,-0.01444439
1,0.275,1,-0.00988249
1,0.275,2,-0.01371797
1,0.275,3,-0.0171311
1,0.275,4,-0.0177705
1,0.28,1,-0.01234702
1,0.28,2,-0.01527035
1,0.28,3,-0.01960001
1,0.28,4,-0.01930494
1,0.285,1,-0.01429797
1,0.285,2,-0.01556184
1,0.285,3,-0.0188576
1,0.285,4,-0.02054373
1,0.29,1,-0.0186595
1,0.29,2,-0.02008382
1,0.29,3,-0.020736
