time_s,acc_DOF3_mps2,acc_DOF4_mps2,acc_DOF5_mps2,acc_DOF6_mps2
0.0,0.00682106,0.00923775,0.01327951,0.01554002
0.005,0.01037716,0.01381548,0.01460402,0.01824999
0.01,0.01197664,0.01583611,0.01783963,0.01940271
0.015,0.0156581,0.0175608,0.01686275,0.01942355
0.02,0.01847303,0.02002985,0.02226559,0.02222414
0.025,0.02054294,0.02039612,0.02294269,0.0224884
0.03,0.01921405,0.02215759,0.02097709,0.02477661
0.035,0.02203952,0.02147802,0.02382167,0.02251497
0.04,0.01992491,0.02149219,0.02144505,0.02308932
0.045,0.02063082,0.02126234,0.02062818,0.01978693
0.05,0.0193735,0.01927081,0.01832642,0.01869611
0.055,0.01762549,0.01990085,0.01887282,0.01736694
0.06,0.01561068,0.01596917,0.01586234,0.01660646
0.065,0.01649939,0.01818087,0.01697734,0.0141166
0.07,0.01502956,0.01410292,0.01531443,0.01331391
0.075,0.01238133,0.0135967,0.01125634,0.01050107
0.08,0.01149838,0.01115553,0.00862011,0.01066979
0.085,0.01360943,0.00918316,0.01093394,0.00672893
0.09,0.01020187,0.00882435,0.00889744,0.00798644
0.095,0.0085578,0.0089591,0.00882713,0.00584087
0.1,0.01086083,0.01009576,0.00723139,0.0077432
0.105,0.0076222,0.00807067,0.00805619,0.00704078
0.11,0.01074082,0.00967967,0.00752736,0.006716
0.115,0.00981966,0.00733333,0.00845535,0.00663526
0.12,0.00983728,0.00835592,0.00959927,0.00521762
0.125,0.01018203,0.00834081,0.00768111,0.00735551
0.13,0.01059597,0.00877672,0.00856702,0.00715781
0.135,0.01009368,0.00859449,0.00694495,0.0042381
0.14,0.01156719,0.00813515,0.00630426,0.0050612
0.145,0.00861185,0.00964732,0.00704074,0.00457976
0.15,0.00856847,0.00711462,0.00779364,0.00364662
0.155,0.00899464,0.00808943,0.00647988,0.00471359
0.16,0.00825932,0.00467633,0.00546948,0.0033278
0.165,0.00654932,0.00787444,0.00608783,0.00275014
0.17,0.00772364,0.00584918,0.00229327,0.001994
0.175,0.00779145,0.00520362,0.00258207,0.00289328
0.18,0.00690864,0.003701,0.00247842,0.00074453
0.185,0.00531079,0.00525863,0.00206108,0.0007932
0.19,0.00790891,0.00355893,0.00114515,0.00023511
0.195,0.00558083,0.00369941,0.00105796,-0.00166001
0.2,0.00558944,0.00259149,0.0006377,0.00243689
0.205,0.00835422,0.00611362,0.00120818,-0.00178009
0.21,0.00637443,0.00250794,0.0009724,-0.001927
0.215,0.00648061,0.00311908,0.00120456,-0.00200289
0.22,0.00497173,0.00093044,0.00025628,-0.00225188
0.225,0.0049299,0.0015666,-0.00136952,-0.0025952
0.23,0.00503137,0.00091876,0.00042571,-0.0061394
0.235,0.00144771,-0.00047555,-0.00394495,-0.00759379
0.24,0.00078154,-0.00277238,-0.00495141,-0.00647455
0.245,-0.00137641,-0.00425867,-0.00533032,-0.00883854
0.25,-0.00218875,-0.00452349,-0.00956245,-0.01085436
0.255,-0.00478623,-0.00932516,-0.01075721,-0.01189689
0.26,-0.00723027,-0.00929844,-0.01261806,-0.01366244
0.265,-0.01047159,-0.01128947,-0.01478679,-0.01647192
0.27,-0.01351437,-0.01658216,-0.01827998,-0.02104961
0.275,-0.01420332,-0.01551927,-0.02071204,-0.01932447
0.28,-0.01736906,-0.01959909,-0.02009036,-0.02178764
0.285,-0.01686801,-0.02004578,-0.02284775,-0.02390279
0.29,-0.01946781,-0.02234285,-0.02318607,-0.02335457
0.295,-0.02163683,-0.02156745,-0.02434118,-0.02600629
0.3,-0.02262041,-0.02366548,-0.0239604,-0.02507317
0.305,-0.02287438,-0.02397992,-0.02180118,-0.02371507
0.31,-0.021565,-0.02028035,-0.02207974,-0.02102299
0.315,-0.01932381,-0.01993253,-0.02090939,-0.02082602
0.32,-0.01770067,-0.01878546,-0.01931733,-0.01822336
0.325,-0.01746288,-0.0189866,-0.0161727,-0.01471153
0.33,-0.01634505,-0.01615741,-0.01501149,-0.01374435
0.335,-0.01191296,-0.01255106,-0.01235739,-0.01196125
